A
Abe 阿部。安部。安倍。阿倍。  
Anzawa 安泽。  
Anzumi 安积。  
Aochi 青地。  
Aoga 青鹿。  
Aogai 青贝。  
Aogaki 青柿。  
Aoha 青叶。  
Aoi 青井。  
Aoike 青池。  
Aoki 青木。  
Aomame 青豆。  
Aono 青野。  
Aonuma 青沼。  
Aoshika 青鹿。  
Aoshima 青岛。  
Ara 荒。  
Arabune 荒船。  
Arada 荒田。  
Arafune 荒船。  
Aragane 荒金。  
Arahata 荒畑  
Arahori 荒掘。  
Arai 荒井。新井。荒居。新居。  
Arakaki 新垣。  
Arakatsu 荒胜。  
Arakawa 荒川。  
Araki 荒木。新城。新木。安乐。  
Arakida 荒木田。  
Arako 新子。  
Aramaki 荒卷。荒牧。  
Arami 新美。  
Aramoto 新本。荒本。  
Arano 荒野。新野。  
Arao 荒尾。  
Araoka 安良冈。  
Arasawa 荒泽。  
Arase 荒濑。  
Arashi 岚。  
Arashima 荒岛。  
Arashiyama 岚山。  
Arata 新田。荒田。新。  
Aratame 荒田目。  
Aratani 新谷。荒谷。  
Araya 新谷。荒谷。新屋。新家。  
Arayama 新山。荒山。  
Ari 安里。  
Ariake 有明。  
Arichi 有地。  
Arida 有田。  
Arie 有江。  
Ariga 有贺。有我。  
Arihara 有原。在原。  
Arii 有井。  
Ariizumi 有泉。  
Ariji 有路。  
Arijima 有岛。  
Arikawa 有川。蚁川。  
Ariki 有木。  
Arima 有马。有间。  
Arimatsu 有松。  
Arimitsu 有光。  
Arimoto 有本。有元。  
Arimura 有村。  
Arino 有野。  
Arioka 有冈。  
Arisaka 有阪。  
Arisawa 有泽。  
Arishima 有岛。  
Arisue 有末。  
Arita 有田。  
Ariwara 在原。  
Ariyama 有山。  
Ariyoshi 有吉。  
Asa 阿佐。  
Asaba 浅叶。  
Asabu 麻生。  
Asabuki 朝吹。  
Asada 浅田。朝田。麻田。  
Asaga 浅贺。朝贺。  
Asago 浅子。  
Asaha 浅羽。  
Asahara 浅原。  
Asahi 朝日。旭。  
Asahina 朝比奈。  
Asai 浅井。朝井。浅生。朝生。  
Asaino 阿佐井野。  
Asaji 浅路。  
Asajima 浅岛。  
Asaka 浅香。安积。朝香。  
Asakai 浅海。朝海。  
Asakawa 浅川。朝川。朝河。  
Asakino 朝来野。  
Asako 浅古。  
Asakura 朝仓。浅仓。  
Asakusa 浅草。  
Asama 浅间。  
Asami 浅见。浅海。阿佐美。浅水。  
Asamoto 朝本  
Asano 浅野。朝野。麻野。  
Asanuma 浅沼。  
Asao 浅尾。  
Asaoka 浅冈。朝冈。  
Asari 浅利。  
Asatani 浅谷。  
Asato 安里。  
Asatsuma 朝妻。  
Asaumi 浅海。  
Asaya 浅谷。  
Asayama 浅山。朝山。  
Ashi 芦。  
Ashida 芦田。  
Ashihara 芦原。  
Ashika 足鹿。  
Ashikaga 足利。  
Ashikawa 芦川。足川。  
Ashina 芦名。  
Ashino 芦野。  
Ahinoya 芦野屋。  
Ashitani 芦谷。  
Ashiya 芦谷。  
Ashizawa 芦泽。  
Aso 阿曾。阿苏。麻生。阿相。  
Asuka 飞鸟。  
Asukabe 飞鸟部。  
Asukai 飞鸟井。  
Asukata 飞鸟田。  
Asuke 足助。  
Asuwa 足羽。  
Atachi 足立。  
Ataka 安宅。  
Atake 安宅。  
Atarashi 新子。  
Atariyama 当山。  
Ato 阿藤。  
Atobe 迹部。  
Atomi 迹见。  
Atsukawa 厚川。  
Atsuki 厚木。  
Atsumi 渥美。  
Atsuta 热田。  
Awa 阿波。  
Awaihara 栗饭原。  
Awaji 淡路。  
Awakawa 栗川。  
Awamura 栗村。  
Awano 栗野。阿波野。  
Awara 湶。  
Awata 栗田。  
Awataguchi 栗田口。  
Awaya 栗屋。淡谷。  
Awazu 栗津。  
Aya 绫。  
Ayabe 绫部。汉部。  
Ayakawa 绫川。  
Ayani 绫仁。  
Ayano 绫野。  
Ayata 绫田。  
Ayuba 阿由叶。  
Ayukawa 鲇川。  
Ayuzawa 鲇泽。  
Azakami 畔上。安座。  
Azechi 畦地。  
Azegami 畔上。  
Azuki 小豆。  
Azuma 东。我妻。吾妻。  
Azumaya 东家。  
Azumi 安住。安积。阿昙  
 
 
B 

Baba 马场。  
Ban 伴。阪。万。  
Banba 番场。  
Banbayashi 伴林。  
Bandai 万代。  
Bando 板东。阪东。  
Bannai 阪内。  
Banno 板野。伴野。万野。番野。阪野。  
Bansho 番匠。  
Banto 阪东。  
Banzai 阪西。  
Barata 茨田。  
Beniya 红谷。  
Beppo 别府。  
Beppu 别府。  
Bessho 别所。  
Betsuyaku 别役。  
Bito 尾藤。  
Bo 坊。  
Bojima 傍岛。  
Bojo 坊城。  
Bono 坊农。  
Bukawa 武川。  
Bundo 丰道。  
Bunno 文野。  
Busujima 毒岛。  
Buzan 武山。 
 C 

Chaki 茶木。  
Chatani 茶谷。  
Chaya 茶谷。  
Chiaki 千明。千秋。  
Chiba 千叶。  
Chibana 知花。  
Chichibu 秩父。  
Chida 千田。  
Chiga 千贺。  
Chigasaki 千之 崎 -- 三个字。  
Chigira 千木良。千金良。  
Chigusa 千种。  
Chihara 千原。  
Chihisa 千久。  
chijiwa 千千石。  
chikada 近田。  
Chikamatsu 近松。  
Chikami 千头。  
Chikamori 近森。  
Chikano 近野。  
Chikaoka 近冈。  
Chikaraishi 力石。  
Chikayama 近山。  
Chikazawa 近泽。  
Chiku 知久。千久。  
Chikui 筑井。  
Chikusa 千种。  
Chikushi 筑紫。筑紫。  
Chikuyama 筑山。  
Chimura 千村。  
Chinda 珍田。  
Chine 茅根。  
Chinen 知念。  
Chino 千野。茅野。知野。  
Chinone 茅根。  
Chiri 知里。  
Chisaka 千阪。  
Chishima 千岛。  
Chitani 千谷。  
Chiwaki 千胁 。  
Chiya 千屋。  
Chiyo 千代。  
Chiyomiya 千代宫。  
Chizaki 地崎。  
Chizuka 迟冢。  
Cho 长。  
Choda 长田。  
Chokai 鸟海。  
Chonan 长南。  
Chono 长野。  
Chosa 帖佐。  
Chosho 调所。  
Chosokabe 长宗我部。长曾我部。  
Chubachi 中钵。  
Chujo 中条。  
Chuman 中马。  
Chaki 茶木。  
Chatani 茶谷。  
Chaya 茶谷。  
Chiaki 千明。千秋。  
Chiba 千叶。  
Chibana 知花。  
Chichibu 秩父。  
Chida 千田。  
Chiga 千贺。  
Chigasaki 千之崎。  
Chigira 千木良。千金良。  
Chigusa 千种。  
Chihara 千原。  
Chihisa 千久。  
chijiwa 千千石。  
chikada 近田。  
Chikamatsu 近松。  
Chikami 千头。  
Chikamori 近森。  
Chikano 近野。  
Chikaoka 近冈。  
Chikaraishi 力石。  
Chikayama 近山。  
Chikazawa 近泽。  
Chiku 知久。千久。  
Chikui 筑井。  
Chikusa 千种。  
Chikushi 筑紫。筑紫。  
Chikuyama 筑山。  
Chimura 千村。  
Chinda 珍田。  
Chine 茅根。  
Chinen 知念。  
Chino 千野。茅野。知野。  
Chinone 茅根。  
Chiri 知里。  
Chisaka 千阪。  
Chishima 千岛。  
Chitani 千谷。  
Chiwaki 千胁 。  
Chiya 千屋。  
Chiyo 千代。  
Chiyomiya 千代宫。  
Chizaki 地崎。  
Chizuka 迟冢。  
Cho 长。  
Choda 长田。  
Chokai 鸟海。  
Chonan 长南。  
Chono 长野。  
Chosa 帖佐。  
Chosho 调所。  
Chosokabe 长宗我部。长曾我部。  
Chubachi 中钵。  
Chujo 中条。  
Chuman 中马。  
 D 

Dai 大。  
Daido 大道。  
Daidoji 大道寺。  
Daidokoro 台所。  
Daigo 醍醐。  
Daikoku 大黑。  
Daimaru 大丸。  
Daimatsu 大松。  
Daimon 大门。  
Daini 大仁。  
Dairaku 大乐。  
Dairin 大林。  
Daita 大田。代田。  
Daito 大藤。大东。  
Daitoku 大德。  
Daiwa 大和。  
Dan 团。旦。檀。弹。  
Danjo 檀上。  
Danno 团野。段野。  
Date 伊达。  
Dazai 太宰。  
Debuchi 出渊。  
Degawa 出川。  
Deguchi 出口。  
Dehara 出原。  
Dei 出井。  
Dejima 出岛。  
Deme 出目。  
Demizu 出水。  
Demura 出村。  
Den 田。  
Deno 出野。  
Denta 伝田。  
Deta 出田。  
Deura 出浦。  
Dewa 出羽。  
Dobashi 土桥。  
Dogan 道愿。  
Doi 土肥。土井。土居。  
Doihara 土肥原。  
Dokawa 土川。  
Doke 道家。  
Doki 土岐。  
Doko 土光。  
Dokura 土仓。  
Domae 堂前。  
Domen 道面。  
Domon 土门。  
Domori 堂森。  
Domoto 堂本。  
Donen 道念。  
Donowaki 堂胁。  
Doshita 土信田。  
Dosho 道正。  
Dota 土田。  
Doyama 堂山。  
Dozono 堂园。  
E 

Ebara 荏原。江原。  
Ebata 江端。江幡。  
Ebato 江波户。  
Ebe 江部。  
Ebi 海老。  
Ebihara 海老原。蛯原。虾原。蛭原。  
Ebiko 蛭子。  
Ebina 海老名。虾名。  
Ebine 海老根。  
Ebinuma 海老沼。  
Ebirada 菔田。  
Ebisawa 海老泽。  
Ebisu 戎。  
Ebisui 戎井。  
Ebisuya 戎谷。  
Echigo 越后。  
Echizen 越前。  
Eda 江田。枝。  
Edakawa 枝川。  
Edamura 枝村。  
Edayoshi 枝吉。  
Edo 江户。  
Edogawa 江户川。  
Efuji 江藤。  
Egami 江上。  
Egashira 江头。  
Egawa 江川。衣川。  
Egi 江木。  
Eguchi 江口。  
Eguro 江黑。  
Egusa 江草。  
Ehana 江花。  
Ehara 江原。榎原。  
Ehashi 江桥。  
Ehata 江畑 。  
Eishima 永岛。  
Ejima 江岛。  
Ejimaya 江岛屋。  
Ejiri 江尻。  
Ema 江间。江马。  
Emi 江见。  
Emori 江森。江守。  
Emoto 江本。柄本。  
Emura 江村。  
Enami 榎并。江波。江南。  
Enari 江成。  
Enchi 圆地。  
Enda 远田。  
Endo 远藤。猿度。  
Enishi 江西。  
Enjoji 圆城寺。  
Enma 圆间。  
Enoki 榎。榎木。  
Enokida 榎田。  
Enokido 榎户。  
Enokihara 榎原。  
Enokiya 榎谷。  
Enomoto 榎本。  
Enya 盐谷。圆谷。盐冶。  
Enzan 盐山。  
Erigawa 江利川。  
Eriguchi 江里口。  
Erizumi 江利角。  
Esaka 江阪。  
Esaki 江崎。  
Esashi 江刺。  
Eshiro 江城。  
Esumi 江角。  
Eto 江藤。卫藤。江头。  
Etsuda 越田。  
Etsukawa 越川。  
Eue 江上。  
Ezaki 江崎。  
Ezawa 江泽。柄泽。  
Ezoe 江副。江添。  
Ezura 江面。  
Ezure 江连。 
F 

Fuchi 渊。  
Fuchida 渊田。  
Fuchigami 渊上。  
Fuchiue 渊上。  
Fuchu 府中。  
Fueki 笛木。  
Fueta 笛田。  
Fuji 藤。  
Fujibayashi 藤林。  
Fujidaira 藤平。  
Fujido 藤堂。  
Fujie 藤江。  
Fujieda 藤枝。  
Fujigaya 藤谷。  
Fujihara 藤原。  
Fujihashi 藤桥。  
Fujihira 藤平。  
Fujii 藤井。藤居。藤生。藤猪。葛井。  
Fujikage 藤荫。  
Fujikake 藤挂。  
Fujikawa 藤川。富士川。  
Fujiki 藤木。藤城。  
Fujikura 藤仓。  
Fujima 藤间。  
Fujimaki 藤卷。藤牧。  
Fujimaru 藤丸。  
Fujimatsu 藤松。富士松。  
Fujimi 藤见。  
Fujimori 藤森。藤盛。  
Fujimoto 藤本。藤元。  
Fujimura 藤村。  
Fujinaga 藤永。  
Fujinaka 藤中。  
Fujinami 藤波。藤浪。  
Fujinawa 藤绳。  
Fujine 藤根。  
Fujino 藤野。  
Fujinoki 藤木。  
Fujinuma 藤沼。  
Fujio 藤尾。藤生。  
Fujioka 藤冈。  
Fujisaka 藤阪。  
Fujisaki 藤崎。  
Fujisawa 藤泽。  
Fujise 藤濑。  
Fujishige 藤重。  
Fujishima 藤岛。  
Fujishiro 藤代。藤城。  
Fujishita 藤下。  
Fujita 藤田。富士田。  
Fujitaka 藤高。  
Fujitakashi 富士山。  
Fujitani 藤谷。富士谷。  
Fujito 藤户。  
Fujitsuka 藤冢。  
Fujiuchi 藤内。  
Fujiura 藤浦。  
Fujuiwara 藤原。富士原。  
Fujiya 藤谷。藤屋。  
Fujiyama 藤山。  
Fujiyoshi 藤吉。  
Fukabori 深掘。  
Fukada 深田。  
Fukae 深江。  
Fukagawa 深川。  
Fukai 深井。  
Fukakusa 深草。  
Fukamachi 深町。  
Fukami 深见。深海。  
Fukamizu 深水。  
Fukano 深野。  
Fukao 深尾。  
Fukasaku 深作。  
Fukase 深濑。  
Fukatani 深谷。  
Fukatsu 深津。  
Fukawa 布川。府川。  
Fukaya 深谷。  
Fukayama 深山。  
Fukazawa 深泽。  
Fuke 福家。  
Fukino 吹野。  
Fukita 吹田。  
Fukuba 福羽。  
Fukuchi 福地。  
Fukuda 福田。  
Fukudome 福留。  
Fukudomi 福富。  
Fukue 福江。  
Fukuhara 福原。  
Fukui 福井。福居。  
Fukuike 福池。  
Fukuishi 福石。  
Fukukawa 福川。  
Fukuma 福间。  
Fukumitsu 福光。  
Fukumori 福森。  
Fukumoto 福本。福元。  
Fukumura 福村。  
Fukumuro 福室。  
Fukunaga 福永。  
Fukunaka 福中。  
Fukunishi 福西。  
Fukuno 福野。  
Fukuo 福尾。  
Fukuoka 福冈。  
Fukusaki 福崎。  
Fukushi 福士。  
Fukushige 福重。  
Fukushima 福岛。副岛。  
Fukutake 福武。  
Fukutani 福谷。  
Fukuuchi 福内。  
Fukuya 福谷。福家。  
Fukuyama 福山。  
Fukuyo 福与。  
Fukuyoshi 福吉。  
Fukuzawa 福泽。  
Fukuzumi 福住。  
Fumihara 文原。  
Fumimoto 文本。文元。  
Fumino 文野。  
Fumiyama 文山。  
Fumoto 麓。  
Funabashi 船桥。舟桥。  
Funabiki 船曳。船引。  
Funada 船田。  
Funado 船户。  
Funagawa 船川。  
Funahashi 舟桥。  
Funai 船井。  
Funaka 府中。  
Funaki 船木。舟木。  
Funakoshi 船越。舟越。  
Funami 船见。  
Funamizu 船水。  
Funamoto 船本。  
Funaoka 船冈。  
Funasaka 船阪。  
Funatsu 船津。舟津。  
Funayama 船山。舟山。  
Funazaki 船崎。  
Funazu 船津。  
Furihata 降旗。  
Furubayashi 古林。  
Furue 古江。  
Furufuji 古藤。  
Furugori 古郡。  
Furuguchi 古口。  
Furuhashi 古桥。  
Furuhata 古畑 。  
Furuhira 古平。  
Furui 古井。  
Furuichi 古市。  
Furuie 古家。  
Furuike 古池。  
Furukawa 古川。古河。  
Furuki 古木。  
Furukubo 古久保。  
Furumata 古俣。  
Furumi 古见。  
Furumiya 古宫。  
Furumori 古森。  
Furumoto 古本。  
Furumura 古村。  
Furuno 古野。  
Furuoka 古冈。  
Furusawa 古泽。  
Furuse 古濑。  
Furuseki 古关。  
Furushima 古岛。  
Furusho 古庄。古庄。  
Furuta 古田。  
Furutani 古谷。  
Furutate 古馆。  
Furuuchi 古内。  
Furuya 古谷。古屋。古家。古。矢。降矢。  
Furuyama 古山。  
Fusamoto 房本。  
Fuse 布施。布势。  
Fuseki 伏木。  
Fuseya 伏屋。  
Fushiki 伏木。  
Fushimi 伏见。  
Futaba 二叶。  
Futagami 二上。  
Futagawa 二川。  
Futai 二井。  
Futakami 二神。  
Futakawa 二川。  
Futaki 二木。  
Futami 二见。  
Futamura 二村。  
Futara 二荒。  
Futatsugi 二木。  
Futatsuki 二木。  
Fuwa 不破。  
Fuya 布谷。  
G 

Gaja 我谢。  
Gakuta 额田。  
Gamo 蒲生。  
Gamoike 蒲地。  
Gassan 月山。  
Gassho 合掌。  
Gaun 卧云。  
Genda 源田。  
Gengi 剑木。  
Genji 源氏。  
Gido 义堂。  
Gima 仪间。  
Gion 只园。  
Go 乡。江。  
Gocho 午肠。后町。  
Goda 合田。  
Godai 五代。  
Godo 伍堂。  
Gohara 乡原。  
Goi 五井。  
Gojima 五岛。  
Gojo 五条。  
Gokami 后上。  
Gokan 后闲。  
Gokano 五贺野。  
Gokita 五木田。  
Goma 后间。乡间。  
Gomei 五明。  
Gomi 五味。  
Gonda 权田。  
Gondo 权藤。  
Gonno 权野。  
Gorai 五来。  
Goseda 五姓田。  
Goshi 乡司。  
Gosho 五所。  
Gota 江田。乡田。  
Goto 后藤。五岛。五藤。  
Gotoda 后藤田。  
Gotori 五岛。  
Gunji 郡司。军司。  
Gushikata 具志坚。  
Gushiken 具志坚。  
Gushikuma 城间。  
Gyobu 刑部。  
Gyoki 行木。  
Gyosha 行者。  
Gyota 行田。 
H 

Haba 羽场。幅。  
Habara 羽原。  
Habashi 羽桥。  
Habata 幅田。  
Habe 波部。  
Habu 羽生。土生。  
Habuchi 羽渊。  
Habuka 羽深。  
Habuto 羽太。  
Hachikata 八方。  
Hachimaki 八卷。  
Hachiman 八幡。  
Hachino 八野。  
Hachio 八尾。  
Hachisaka 八阪。  
Hachishima 八岛。  
Hachisu 蜂巢。  
Hachisuka 蜂须贺。  
Hachitani 蜂谷。  
Hachiya 蜂谷。蜂屋。  
Hada 羽田。波田。  
Hadano 羽田野。  
Haga 芳贺。羽贺。  
Hagi 萩。  
Hagihara 萩原。  
Hagikura 萩仓。  
Hagimoto 萩本。萩元。  
Hagino 萩野。  
Haginoya 萩野谷。  
Hagita 萩田。  
Hagitani 萩谷。  
Hagiwara 萩原。  
Hagiya 萩谷。  
Haguri 羽栗。  
Hagyuuta 萩生田。    
Haino 灰野。  
Haishi 羽石。  
Haji 土师。  
Hakamada 裤田。  
Hakata 博多。  
Haketa 羽毛田。  
Hakoda 箱田。  
Hakomori 箱守。  
Hakosaki 箱崎。  
Hakota 箱田。  
Hakui 伯井。  
Hakura 羽仓。  
Hakusan 白山。  
Hakuta 白田。  
Hama 滨。羽间。  
Hamabe 滨边。  
Hamachi 滨地。  
Hamada 滨田。  
Hamagami 滨上。  
Hamaguchi 滨口。  
Hamahata 滨畑。  
Hamai 滨井。  
Hamaike 滨池。  
Hamakawa 滨川。  
Hamamatsu 滨松。  
Hamamoto 滨本。滨元。  
Hamamura 滨村。  
Hamana 滨名。  
Hamanaka 滨中。  
Hamanishi 滨西。  
Hamano 滨野。  
Hamao 滨尾。  
Hamaoka 滨冈。  
Hamashima 滨岛。  
Hamatani 滨谷。  
Hamaue 滨上。  
Hamaya 滨谷。  
Hamazaki 滨崎。  
Hamuro 叶室。  
Hana 花。  
Hanabata 花畑。  
Hanabatake 花畑。  
Hanabishi 花菱。  
Hanabusa 花房。英。  
Hanada 花田。  
Hanagata 花形。  
Hanahara 花原。羽原。  
Hanai 花井。  
Hanaka 花香。  
Hanakawa 花川。  
Hanaki 花木。  
Hanami 花见。  
Hanamoto 花本。  
Hanamura 花村。  
Hanano 花野。  
Hanaoka 花冈。华冈。  
Hanari 羽成。  
Hanasaki 花崎。  
Hanashi 叶梨。  
Hanashima 花岛。  
Hanashiro 花城。  
Hanatani 花谷。  
Hanatsuka 花冢。  
Hanawa 槁。花轮。  
Hanaya 花谷。  
Hanayagi 花柳。  
Hanayama 花山。  
Hanazato 花里。  
Hanazawa 花泽。  
Hanazono 花园。  
Handa 半田。  
Hando 半藤。  
Hanebashi 羽桥。  
Hanebuka 羽深。  
Haneda 羽田。羽根田。  
Hanehara 羽原。  
Haneishi 羽石。  
Hanekawa 羽川。  
Haneyama 羽山。  
Hani 羽仁。  
Hanihara 埴原。  
Hanita 土田。  
Haniuta 羽生田。  
Haniya 埴谷。  
Hanmoto 播本。  
Hanmura 半村。  
Hannoki 榛木。  
Hanochi 羽后。  
Hantani 半谷。  
Hanya 半谷。  
Hanyu 羽生。  
Hanzawa 半泽。榛泽。  
Hara 原。  
Harabe 原边。  
Harada 原田。  
Haraguchi 原口。  
Harai 原井。  
Harakawa 原川。  
Haramoto 原本。  
Harano 原野。  
Harasawa 原泽。  
Harashima 原岛。  
Harayama 原山。  
Harigae 张替。  
Harigaya 针谷。  
Harima 播磨。张间。  
Harimoto 张本。播本。  
Haritani 针谷。  
Hariya 针谷。  
Haruhara 春原。  
Haruhi 春日。  
Harukawa 春川。  
Haruki 春木。  
Harumi 春见。  
Harumoto 春本。  
Haruna 春名。  
Haruta 春田。治田。  
Haruyama 春山。晴山。  
Haruzumi 春澄。  
Haryuu 针生。  
Hase 长谷。  
Haseba 长谷场。  
Hasebe 长谷部。丈部。  
Haseda 长谷田。  
Hasegawa 长谷川。  
Hasekura 丈仓。  
Hasemi 长谷见。  
Haseyama 长谷山。  
Hashi 桥。箸。  
Hashiba 桥场。羽柴。  
Hashida 桥田。  
Hashidate 桥立。  
Hashido 桥户。  
Hashigami 桥上。  
Hashiguchi 桥口。  
Hashikawa 桥川。  
Hashimoto 桥本。桥元。  
Hashimura 桥村。  
Hashinaka 桥中。  
Hashino 桥野。  
Hashioka 桥冈。  
Hashitani 桥谷。  
Hashiue 桥上。  
Hashiura 桥浦。  
Hashiya 桥谷。  
Hashizumi 桥爪。桥诘。  
Hasuda 莲田。  
Hasui 莲井。  
Hasuike 莲池。  
Hasumi 莲见。荷见。  
Hasunuma 莲沼。  
Hata 畑。秦。波多。  
Hatada 畑田。  
Hatae 波多江。  
Hatai 畑井。  
Hatakeda 畑田。  
Hatakeyama 畑山。  
Hatanaka 畑中。  
Hatano 波多野。畑野。秦野。波田野。幡野。羽田野。旗野。  
Hatashin 幡新。  
Hatayama 畑山。端山。  
Hatazaki 幡崎。  
Hatogai 鸠贝。  
Hatono 鸠野。  
Hatori 羽鸟。  
Hatoyama 鸠山。  
Hatsugano 初鹿野。  
Hatsumi 初见。  
Hatsumura 初村。  
Hatsusawa 初泽。  
Hatsuse 初濑。  
Hatsushiba 初芝。  
Hatsuta 初田。  
Hatsutani 初谷。  
Hatsuyama 初山。  
Hatta 八田。八太。  
Hattori 服部。  
Hayafune 早船。  
Hayakawa 早川。  
Hayama 叶山。羽山。巴山。  
Hayami 速水。早见。早水。  
Hayamizu 速水。  
Hayano 早野。  
Hayasaka 早阪。  
Hayasaki 早崎。  
Hayase 早濑。  
Hayashi 林。早矢仕。  
Hayashibara 林原。  
Hayashibe 林部。  
Hayashida 林田。  
Hayashiya 林屋。林家。  
Hayata 早田。  
Hayatsu 早津。  
Hazama 间。狭间。  
Hazawa 羽泽。  
Heguri 平群。  
Hei 平。  
Heike 平家。  
Heima 平间。  
Heki 日置。  
Henmi 逸见。边见。  
Hetsugi 户次。 
Hezutsu 平秩。  
Hibi 日比。  
Hibino 日比野。  
Hibiya 日比谷。  
Hida 飞田。肥田。稗田。樋田。  
 Hidai 比田井。  
Hidaka 日高。  
Hidano 肥田野。  
Hide 日出。  
Hidenori 英冠。  
Hideshima 秀岛。  
Hieda 稗田。  
Higa 比嘉。  
Higai 樋贝。  
Higaki 桧垣。  
Higami 樋上。  
Higano 日向。日向野。  
Higasa 日笠。  
Higashi 东。 
Higashida 东田。  
Higashide 东出。  
Higashiguchi 东口。  
Higashihara 东原。 
Higashijo 东条。  
Higashikawa 东川。  
Higashikuni 东久迩。  
Higashimura 东村。  
Higashinaka 东中。  
Higashino 东野。  
Higashio 东尾。  
Higashitani 东谷。  
Higashiura 东浦。  
Higashiya 东谷。  
Higashiyama 东山。  
Higashizutsumi 东堤。  
Higo 肥后。日护。  
Higuchi 樋口。  
Higurashi 日暮。  
Higure 日暮。  
Hihara 日原。  
Hiji 日出。  
Hijikata 土方。行方。  
